Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
10,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.35011e-05,5.30283e-06,1.58845e-05,-1.85319e-05,-5.29082e-06,-1.85321e-05,0,7.68322e-05,-3.97835e-05,0.00415584,4.67374e-07,0.0017156,5.09063e-07,0.000677784,6.45817e-07,0,0,0,0,0,0,0,0.588457,0.678163,-1.47114,-0.809128,-0.801853,0.401446,1.46176,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0644531,0.0742786,-0.161133,-0.088623,-0.137022,0.0685998,0.249788,-1.57075,1.29728e-08,1.29728e-08,1.29728e-08,1.13878e-08,1.13878e-08,1.13878e-08,3.89183e-06,3.89183e-06,3.89183e-06,3.89183e-06,3.41635e-06,3.41635e-06,3.41635e-06,0.000778366,0.000778366,0.000778366,0.000778366,0.000683269,0.000683269,0.000683269,0,0,0,0,0,0,0
11,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.35011e-05,1.06057e-05,1.58846e-05,-1.85319e-05,-5.29082e-06,-1.85181e-05,0,7.68911e-05,-4.37618e-05,0.00442254,5.14126e-07,0.00183879,5.59981e-07,0.000712994,7.10402e-07,0,0,0,0,0,0,0,0.606568,0.662014,-1.32403,-0.809128,-0.848982,0.448521,1.46157,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0664368,0.0725098,-0.14502,-0.088623,-0.145075,0.076644,0.249756,-1.57075,1.72668e-08,1.72668e-08,1.72668e-08,1.51572e-08,1.51572e-08,1.51572e-08,4.70911e-06,4.70911e-06,4.70911e-06,4.70911e-06,4.13378e-06,4.13378e-06,4.13378e-06,0.000856203,0.000856203,0.000856203,0.000856203,0.000751596,0.000751596,0.000751596,0,0,0,0,0,0,0
12,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.35011e-05,1.06057e-05,1.58845e-05,-1.85319e-05,-5.29087e-06,-1.85179e-05,0,7.68911e-05,-4.77402e-05,0.0046892,5.60881e-07,0.00196195,6.10902e-07,0.000748197,7.74989e-07,0,0,0,0,0,0,0,0.588457,0.735571,-1.32403,-0.750138,-0.848982,0.448521,1.46176,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0644531,0.0805664,-0.14502,-0.0821619,-0.145075,0.076644,0.249788,-1.57075,2.24169e-08,2.24169e-08,2.24169e-08,1.96782e-08,1.96782e-08,1.96782e-08,5.60423e-06,5.60423e-06,5.60423e-06,5.60423e-06,4.91954e-06,4.91954e-06,4.91954e-06,0.000934039,0.000934039,0.000934039,0.000934039,0.000819923,0.000819923,0.000819923,0,0,0,0,0,0,0
13,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.35011e-05,1.06057e-05,1.58725e-05,-1.85179e-05,-5.29082e-06,-1.85179e-05,0,7.68911e-05,-5.17185e-05,0.00495581,6.0764e-07,0.00208509,6.61827e-07,0.000783393,8.39577e-07,0,0,0,0,0,0,0,0.662014,0.73924,-1.32607,-0.750138,-0.825417,0.473826,1.43819,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0725098,0.0809682,-0.145243,-0.0821619,-0.141049,0.0809682,0.245761,-1.57075,2.85012e-08,2.85012e-08,2.85012e-08,2.5019e-08,2.5019e-08,2.5019e-08,6.57719e-06,6.57719e-06,6.57719e-06,6.57719e-06,5.77363e-06,5.77363e-06,5.77363e-06,0.00101188,0.00101188,0.00101188,0.00101188,0.00088825,0.00088825,0.00088825,0,0,0,0,0,0,0
14,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.24358e-05,1.06056e-05,1.58725e-05,-1.85319e-05,-5.29082e-06,-1.85179e-05,0,8.48453e-05,-5.56969e-05,0.00522239,6.54405e-07,0.0022082,7.12755e-07,0.000818581,9.04167e-07,0,0,0,0,0,0,0,0.662014,0.666088,-1.39759,-0.809128,-0.801853,0.424981,1.5089,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0725098,0.072956,-0.153076,-0.088623,-0.137022,0.0726216,0.257844,-1.57075,3.55973e-08,3.55973e-08,3.55973e-08,3.12482e-08,3.12482e-08,3.12482e-08,7.62799e-06,7.62799e-06,7.62799e-06,7.62799e-06,6.69604e-06,6.69604e-06,6.69604e-06,0.00108971,0.00108971,0.00108971,0.00108971,0.000956577,0.000956577,0.000956577,0,0,0,0,0,0,0
15,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.24358e-05,5.30283e-06,1.58845e-05,-1.85319e-05,-5.29082e-06,-1.85179e-05,0,8.48445e-05,-5.96752e-05,0.00548891,7.01174e-07,0.00233129,7.63688e-07,0.00085376,9.68758e-07,0,0,0,0,0,0,0,0.666088,0.678163,-1.39952,-0.812465,-0.825081,0.473826,1.46176,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.072956,0.0742786,-0.153288,-0.0889885,-0.140991,0.0809682,0.249788,-1.57075,4.37831e-08,4.37831e-08,4.37831e-08,3.84339e-08,3.84339e-08,3.84339e-08,8.75662e-06,8.75662e-06,8.75662e-06,8.75662e-06,7.68678e-06,7.68678e-06,7.68678e-06,0.00116755,0.00116755,0.00116755,0.00116755,0.0010249,0.0010249,0.0010249,0,0,0,0,0,0,0
16,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.24358e-05,5.30283e-06,1.58846e-05,-1.85179e-05,-5.29082e-06,-1.85181e-05,0,8.48445e-05,-6.36536e-05,0.00575538,7.47949e-07,0.00245435,8.14625e-07,0.000888929,1.03335e-06,0,0,0,0,0,0,0,0.662014,0.666088,-1.25263,-0.822394,-0.777933,0.424327,1.438,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0725098,0.072956,-0.1372,-0.090076,-0.132935,0.0725098,0.245728,-1.57075,5.31365e-08,5.31365e-08,5.31365e-08,4.66445e-08,4.66445e-08,4.66445e-08,9.96308e-06,9.96308e-06,9.96308e-06,9.96308e-06,8.74585e-06,8.74585e-06,8.74585e-06,0.00124539,0.00124539,0.00124539,0.00124539,0.00109323,0.00109323,0.00109323,0,0,0,0,0,0,0
17,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.56613e-05,-2.98265e-05,-7.24358e-05,5.30283e-06,1.58726e-05,-1.85179e-05,-5.29082e-06,-2.91215e-05,0,8.48453e-05,-6.76319e-05,0.00602179,7.94729e-07,0.00257737,8.65567e-07,0.000924088,1.09794e-06,0,0,0,0,0,0,0,0.593037,0.5149,-1.39759,-0.822394,-0.848982,0.424981,1.53229,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0649547,0.0563965,-0.153076,-0.090076,-0.145075,0.0726216,0.261841,-1.57075,6.37352e-08,6.37352e-08,6.37352e-08,5.59484e-08,5.59484e-08,5.59484e-08,1.12474e-05,1.12474e-05,1.12474e-05,1.12474e-05,9.87324e-06,9.87324e-06,9.87324e-06,0.00132322,0.00132322,0.00132322,0.00132322,0.00116156,0.00116156,0.00116156,0,0,0,0,0,0,0
18,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.56613e-05,-2.98265e-05,-7.13706e-05,5.30283e-06,1.58725e-05,-1.85319e-05,-5.28683e-06,-2.90995e-05,0,9.55233e-05,-7.16103e-05,0.00628815,8.41516e-07,0.00270036,9.16514e-07,0.000959237,1.16254e-06,0,0,0,0,0,0,0,0.593037,0.588457,-1.39952,-0.83868,-0.825417,0.424327,1.5089,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0649547,0.0644531,-0.153288,-0.0918598,-0.141049,0.0725098,0.257844,-1.57075,7.56572e-08,7.56572e-08,7.56572e-08,6.64138e-08,6.64138e-08,6.64138e-08,1.26095e-05,1.26095e-05,1.26095e-05,1.26095e-05,1.1069e-05,1.1069e-05,1.1069e-05,0.00140106,0.00140106,0.00140106,0.00140106,0.00122988,0.00122988,0.00122988,0,0,0,0,0,0,0
19,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.56613e-05,-2.98265e-05,-7.13706e-05,1.06057e-05,1.58845e-05,-1.85319e-05,-5.29087e-06,-2.90995e-05,0,9.5451e-05,-7.55886e-05,0.00655444,8.88309e-07,0.00282332,9.67467e-07,0.000994374,1.22714e-06,0,0,0,0,0,0,0,0.809128,0.735571,-1.39759,-0.73924,-0.825417,0.424981,1.48533,25.0959,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.088623,0.0805664,-0.153076,-0.0809682,-0.141049,0.0726216,0.253816,-1.57075,8.89802e-08,8.89802e-08,8.89802e-08,7.81091e-08,7.81091e-08,7.81091e-08,1.40495e-05,1.40495e-05,1.40495e-05,1.40495e-05,1.2333e-05,1.2333e-05,1.2333e-05,0.0014789,0.0014789,0.0014789,0.0014789,0.00129821,0.00129821,0.00129821,0,0,0,0,0,0,0
