Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-3.1957e-06,-0.523715,1.76588e-05,-5.53921e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.00034107,0,0,0,0,0,-0.0575,19.0257,-0.00823182,7.21668,-0.00291344,1.8229,-0.000302598,0,0,0,0,0,0,0,0.465216,18.9779,-1.69341,5.29662,-0.0942949,1.20226,0.660485,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0509547,2.07863,-0.185478,0.580134,-0.0161133,0.205444,0.112865,0,-0.523583,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
1,-3.1957e-06,-0.523697,1.76588e-05,-5.53921e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.00192081,0,0,0,0,0,-0.0575001,19.0257,-0.00823181,7.21667,-0.00291344,1.8229,-0.000302598,0,0,0,0,0,0,0,0.220671,19.4932,-1.69181,5.36967,-0.0471475,1.17892,0.660064,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0241699,2.13507,-0.185303,0.588135,-0.00805664,0.201456,0.112793,0,-0.523583,0,0,0,0,0,0,0.00155996,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
2,-3.1957e-06,-0.523684,1.76588e-05,-5.53921e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.00590026,0,0,0,0,0,-0.0575003,19.0256,-0.00823181,7.21665,-0.00291344,1.82289,-0.000302597,0,0,0,0,0,0,0,0.220671,19.7134,-1.69341,5.36967,-0.0527125,1.20226,0.710739,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0241699,2.15919,-0.185478,0.588135,-0.0090076,0.205444,0.121452,0,-0.52358,0,0,0,0,0,0,0.00311993,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
3,-3.1957e-06,-0.523667,1.76588e-05,-5.53921e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0143037,0,0,0,0,0,-0.0575007,19.0255,-0.00823179,7.21661,-0.00291343,1.82288,-0.000302595,0,0,0,0,0,0,0,0.303284,19.125,-1.69341,5.29816,-0.0527125,1.15511,0.730786,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0332184,2.09474,-0.185478,0.580302,-0.0090076,0.197388,0.124878,0,-0.523576,0,0,0,0,0,0,0.00467989,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
4,-3.1957e-06,-0.523667,1.76588e-05,-5.53921e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0143037,0,0,0,0,0,-0.0575012,19.0254,-0.00823177,7.21656,-0.00291342,1.82287,-0.000302593,0,0,0,0,0,0,0,0.303284,19.125,-1.69341,5.29816,-0.0527125,1.15511,0.730786,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0332184,2.09474,-0.185478,0.580302,-0.0090076,0.197388,0.124878,0,-0.523571,0,0,0,0,0,0,0.00623986,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
5,-3.1957e-06,-0.523634,1.76588e-05,-5.59247e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0167455,0,-5.29082e-06,0,0,0,-0.0575019,19.0252,-0.00823174,7.21649,-0.00291341,1.82285,-0.00030259,0,0,0,0,0,0,0,0.328957,17.5066,-1.61826,5.29662,-0.0527125,1.17869,0.707605,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0360304,1.91748,-0.177246,0.580134,-0.0090076,0.201416,0.120917,0,-0.523564,0,0,0,0,0,0,0.00779982,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
6,-3.1957e-06,-0.523618,1.76588e-05,-5.59247e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0162054,0,-5.29082e-06,0,0,0,-0.0575028,19.0249,-0.00823171,7.2164,-0.00291339,1.82283,-0.000302587,0,0,0,0,0,0,0,0.164479,18.0952,-1.61826,5.22256,-0.0527125,1.17869,0.636927,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0180152,1.98195,-0.177246,0.572021,-0.0090076,0.201416,0.108839,0,-0.523555,0,0,0,0,0,0,0.00935979,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
7,-3.1957e-06,-0.523601,1.76588e-05,-5.64573e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0160336,0,-7.93033e-06,0,0,0,-0.0575038,19.0247,-0.00823166,7.2163,-0.00291338,1.82281,-0.000302583,0,0,0,0,0,0,0,0.265214,18.61,-1.7669,5.29662,0.0333383,1.20434,0.707605,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0290486,2.03833,-0.193527,0.580134,0.00569691,0.205799,0.120917,0,-0.523545,0,0,0,0,0,0,0.0109197,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
8,-3.1957e-06,-0.523583,1.76588e-05,-5.64573e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0183661,0,-7.92435e-06,0,0,0,-0.057505,19.0244,-0.00823162,7.21619,-0.00291336,1.82278,-0.000302578,0,0,0,0,0,0,0,0.265214,19.1254,-1.7669,5.22256,-0.0471475,1.22606,0.661746,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0290486,2.09479,-0.193527,0.572021,-0.00805664,0.209511,0.11308,0,-0.523533,0,0,0,0,0,0,0.0124797,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
9,-3.1957e-06,-0.523564,1.76588e-05,-5.699e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0194464,0,-1.32072e-05,0,0,0,-0.0575063,19.024,-0.00823156,7.21606,-0.00291334,1.82275,-0.000302572,0,0,0,0,0,0,0,0.265214,18.9777,-1.69181,5.36967,-0.0942949,1.15535,0.732305,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0290486,2.07861,-0.185303,0.588135,-0.0161133,0.197429,0.125138,0,-0.52352,0,0,0,0,0,0,0.0140397,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
10,-3.1957e-06,-0.523541,1.76588e-05,-5.699e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0232277,0,-1.32072e-05,0,0,0,-0.0575078,19.0236,-0.00823151,7.21591,-0.00291331,1.82271,-0.000302566,0,0,0,0,0,0,0,0.232608,19.1249,-1.61993,5.37017,-0.0471475,1.20318,0.684044,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0254773,2.09473,-0.177429,0.58819,-0.00805664,0.205602,0.116891,0,-0.523505,0,0,0,0,0,0,0.0155996,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
11,-3.1957e-06,-0.523515,1.76588e-05,-5.699e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0245746,0,-1.31973e-05,0,0,0,-0.0575094,19.0232,-0.00823144,7.21575,-0.00291328,1.82267,-0.00030256,0,0,0,0,0,0,0,0.375069,18.8312,-1.69181,5.29662,0.0235737,1.17869,0.731166,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.041081,2.06256,-0.185303,0.580134,0.00402832,0.201416,0.124943,0,-0.523489,0,0,0,0,0,0,0.0171596,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
12,-3.1957e-06,-0.523489,1.76588e-05,-5.699e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0264688,0,-1.31973e-05,0,0,0,-0.0575112,19.0227,-0.00823137,7.21557,-0.00291325,1.82263,-0.000302552,0,0,0,0,0,0,0,0.220671,18.9779,-1.69341,5.37017,-0.0527125,1.20249,0.707605,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0241699,2.07863,-0.185478,0.58819,-0.0090076,0.205484,0.120917,0,-0.523471,0,0,0,0,0,0,0.0187196,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
13,-3.1957e-06,-0.523461,1.76588e-05,-5.699e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0280608,0,-1.32072e-05,0,0,0,-0.0575131,19.0222,-0.00823129,7.21538,-0.00291322,1.82258,-0.000302544,0,0,0,0,0,0,0,0.220671,18.8308,-1.69181,5.29662,-0.0527125,1.17869,0.707212,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0241699,2.06252,-0.185303,0.580134,-0.0090076,0.201416,0.12085,0,-0.523452,0,0,0,0,0,0,0.0202795,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
14,-3.1957e-06,-0.523432,1.76588e-05,-5.75226e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0291697,0,-1.84901e-05,0,0,0,-0.0575152,19.0216,-0.0082312,7.21517,-0.00291319,1.82253,-0.000302536,0,0,0,0,0,0,0,0.303284,19.1249,-1.69341,5.37017,-0.0745467,1.20226,0.660485,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0332184,2.09473,-0.185478,0.58819,-0.0127387,0.205444,0.112865,0,-0.52343,0,0,0,0,0,0,0.0218395,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
15,-3.1957e-06,-0.523401,1.76588e-05,-5.80552e-05,9.80993e-07,-3.30222e-05,-1.91742e-05,0,0.0295898,0,-2.37551e-05,0,0,0,-0.0575175,19.021,-0.00823111,7.21495,-0.00291315,1.82247,-0.000302527,0,0,0,0,0,0,0,0.232608,19.2721,-1.69341,5.29611,0.0235737,1.24963,0.708782,33.0535,33.0897,32.9463,34.0533,38.9824,39.788,38.2653,0.0254773,2.11086,-0.185478,0.580078,0.00402832,0.213539,0.121118,0,-0.523408,0,0,0,0,0,0,0.0233995,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0
