0.0683, -24.0182, -0.2134, 6.6250, -0.4785, -1.2012, 0.3308,
0.0327, -24.0648, -0.1057, 6.6347, -0.5423, -1.2263, 0.2155,
0.0374, -24.0589, -0.1337, 6.6364, -0.5262, -1.2195, 0.2455,
0.0385, -24.0578, -0.1493, 6.6388, -0.5173, -1.2157, 0.2623,
0.0271, -24.0729, -0.1232, 6.6438, -0.5331, -1.2216, 0.2343,
0.0828, -24.0005, -0.3230, 6.6353, -0.4157, -1.1745, 0.4486,
0.0716, -24.0154, -0.2978, 6.6402, -0.4309, -1.1802, 0.4216,
0.0115, -24.0939, -0.1081, 6.6550, -0.5430, -1.2245, 0.2184,
0.0077, -24.0990, -0.1081, 6.6585, -0.5434, -1.2243, 0.2184,
0.0039, -24.1042, -0.1081, 6.6621, -0.5437, -1.2241, 0.2184,
0.0000, -24.1095, -0.1080, 6.6656, -0.5441, -1.2239, 0.2184,
-0.0038, -24.1147, -0.1080, 6.6692, -0.5445, -1.2237, 0.2184,
-0.0077, -24.1200, -0.1079, 6.6728, -0.5449, -1.2235, 0.2184,
-0.0116, -24.1254, -0.1079, 6.6764, -0.5453, -1.2233, 0.2185,
-0.0156, -24.1308, -0.1078, 6.6801, -0.5457, -1.2231, 0.2185,
-0.0196, -24.1362, -0.1078, 6.6838, -0.5461, -1.2229, 0.2185,
-0.0236, -24.1417, -0.1078, 6.6875, -0.5465, -1.2227, 0.2185,
-0.0276, -24.1472, -0.1077, 6.6912, -0.5469, -1.2225, 0.2185,
-0.0317, -24.1527, -0.1077, 6.6950, -0.5473, -1.2223, 0.2185,
-0.0358, -24.1583, -0.1076, 6.6987, -0.5477, -1.2221, 0.2185,
-0.0399, -24.1639, -0.1076, 6.7025, -0.5481, -1.2219, 0.2185,
-0.0441, -24.1695, -0.1075, 6.7064, -0.5485, -1.2217, 0.2185,
-0.0482, -24.1752, -0.1075, 6.7102, -0.5490, -1.2214, 0.2186,
