Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-1.30898,5.73004e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,5.27495e-06,1.32171e-05,0,5.28683e-06,0,1.05737e-05,0,0.0104079,-0.0649089,0.00463656,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,2.35498,-0.666088,-1.69181,0.812465,-0.0527125,0.707212,0.589343,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.257938,-0.072956,-0.185303,0.0889885,-0.0090076,0.12085,0.100708,-1.30896,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.30898,5.73004e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,5.27495e-06,1.32172e-05,0,5.2829e-06,0,1.05817e-05,0,0.0104079,-0.0649089,0.00463656,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,2.20794,-0.593037,-1.8404,0.809128,-0.0745467,0.754359,0.589815,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.241833,-0.0649547,-0.201577,0.088623,-0.0127387,0.128906,0.100789,-1.30896,0,0,0,0,0,0,0.00155996,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1.30898,5.73004e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,5.27892e-06,1.32072e-05,0,5.28688e-06,0,1.05578e-05,0,0.0104079,-0.0649089,0.00463656,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,2.28146,-0.593037,-1.69181,0.812465,-0.0942949,0.754359,0.636491,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.249886,-0.0649547,-0.185303,0.0889885,-0.0161133,0.128906,0.108765,-1.30896,0,0,0,0,0,0,0.00311993,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-1.30898,5.73004e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,5.27495e-06,1.32171e-05,0,5.28688e-06,0,1.05578e-05,0,0.0104079,-0.0649089,0.00463656,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,2.35842,-0.588457,-1.69181,0.809128,-0.105425,0.683638,0.542196,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.258316,-0.0644531,-0.185303,0.088623,-0.0180152,0.116821,0.0926514,-1.30895,0,0,0,0,0,0,0.00467989,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-1.30898,5.73004e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,1.05499e-05,1.32171e-05,0,5.2829e-06,0,1.05658e-05,0,0.0104079,-0.0649089,0.00463656,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,2.5745,-0.606568,-1.7669,0.73924,-0.0942949,0.732305,0.56626,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.281982,-0.0664368,-0.193527,0.0809682,-0.0161133,0.125138,0.0967636,-1.30895,0,0,0,0,0,0,0.00623986,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1.30898,5.73004e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,2.10998e-05,1.32171e-05,0,5.28285e-06,0,1.05658e-05,0,0.0104079,-0.0649089,0.00463656,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,2.79517,-0.593037,-1.7669,0.666088,-0.0527125,0.707605,0.56577,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.306152,-0.0649547,-0.193527,0.072956,-0.0090076,0.120917,0.0966797,-1.30894,0,0,0,0,0,0,0.00779982,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-1.30898,5.73004e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,3.16735e-05,1.32171e-05,0,5.28683e-06,0,1.05577e-05,0,0.0104079,-0.0649089,0.00463656,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,3.01584,-0.447431,-1.7669,0.809128,-0.0527125,0.707605,0.542708,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.330322,-0.0490066,-0.193527,0.088623,-0.0090076,0.120917,0.0927389,-1.30893,0,0,0,0,0,0,0.00935979,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-1.30898,5.73004e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,5.27494e-05,1.32172e-05,0,5.28688e-06,0,1.05577e-05,0,0.0104079,-0.0649089,0.00463657,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,3.23651,-0.588457,-1.61826,0.678163,-0.0333383,0.755831,0.589815,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.354492,-0.0644531,-0.177246,0.0742786,-0.00569691,0.129158,0.100789,-1.30892,0,0,0,0,0,0,0.0109197,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-1.30897,5.27086e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,7.38485e-05,5.28688e-06,0,5.2829e-06,0,1.05657e-05,0,0.0104079,-0.0649089,0.00463657,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,3.45797,-0.447431,-1.69181,0.735571,-0.0849963,0.731166,0.636927,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.378748,-0.0490066,-0.185303,0.0805664,-0.0145243,0.124943,0.108839,-1.30891,0,0,0,0,0,0,0.0124797,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-1.30897,5.27086e-06,1.8118e-05,-8.52186e-06,1.93227e-06,-1.97068e-05,-1.59785e-05,0.000105499,5.28688e-06,0,5.2829e-06,0,1.05658e-05,0,0.0104079,-0.0649089,0.00463657,-0.0243967,0.0018326,-0.00587016,0.00037528,0,0,0,0,0,0,0,3.75213,-0.396117,-1.61993,0.812465,-0.100015,0.754728,0.56626,32.9947,32.5443,32.9246,33.9921,38.9131,39.7663,38.3,0.410968,-0.0433863,-0.177429,0.0889885,-0.0170907,0.128969,0.0967636,-1.3089,0,0,0,0,0,0,0.0140397,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0,0,0
