Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-4.26093e-06,-1.33154e-05,-1.33154e-05,-3.72832e-05,-2.76961e-05,-1.04723,-1.91742e-05,-5.27495e-06,0,0,0,0,0,0,-0.0059565,2.92064,-0.000874771,2.73842,-0.000874771,2.60291,-0.000430946,0,0,0,0,0,0,0,0.232608,1.17691,1.17691,3.45797,0.991219,2.23963,0.708782,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6343,0.0254773,0.128906,0.128906,0.378748,0.169381,0.382712,0.121118,0,0,0,0,0,-1.04717,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
1,-4.26093e-06,-1.33154e-05,-1.3848e-05,-3.72832e-05,-2.76961e-05,-1.04723,-1.91742e-05,-5.275e-06,5.27098e-06,-5.27098e-06,0,0,0,0,-0.00595655,2.92064,-0.000874778,2.73842,-0.000874778,2.60291,-0.000430946,0,0,0,0,0,0,0,0.367786,1.17691,1.18607,3.38443,1.03832,2.28677,0.731166,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6343,0.0402832,0.128906,0.129909,0.370693,0.177429,0.390768,0.124943,0,0,0,0,0,-1.04717,0,0,0,0,0,0,0.00299987,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
2,-4.26093e-06,-1.33154e-05,-1.3848e-05,-3.72832e-05,-2.76961e-05,-1.04723,-1.91742e-05,-5.27098e-06,5.27098e-06,-5.27495e-06,0,0,0,0,-0.00595669,2.92065,-0.000874799,2.73842,-0.000874799,2.6029,-0.000430945,0,0,0,0,0,0,0,0.447431,1.03242,1.2591,3.45719,0.966523,2.26308,0.732305,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6343,0.0490066,0.11308,0.137907,0.378662,0.165161,0.386719,0.125138,0,0,0,0,0,-1.04716,0,0,0,0,0,0,0.00599974,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
3,-4.26093e-06,-1.33154e-05,-1.3848e-05,-3.72832e-05,-2.76961e-05,-1.04723,-1.91742e-05,-5.27098e-06,0,-5.2829e-06,0,0,0,0,-0.00595692,2.92065,-0.000874833,2.73841,-0.000874833,2.60289,-0.000430943,0,0,0,0,0,0,0,0.441343,1.10581,1.32403,3.53151,1.01394,2.31035,0.683638,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6343,0.0483398,0.121118,0.14502,0.386803,0.173265,0.394796,0.116821,0,0,0,0,0,-1.04715,0,0,0,0,0,0,0.00899961,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
4,-4.26093e-06,-1.33154e-05,-1.33154e-05,-3.72832e-05,-2.76961e-05,-1.04723,-1.91742e-05,-5.27495e-06,0,0,0,0,0,0,-0.00595724,2.92065,-0.000874881,2.7384,-0.000874881,2.60287,-0.000430941,0,0,0,0,0,0,0,0.447431,1.10581,1.32607,3.38443,0.991219,2.35749,0.660064,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6617,0.0490066,0.121118,0.145243,0.370693,0.169381,0.402852,0.112793,0,0,0,0,0,-1.04714,0,0,0,0,0,0,0.0119995,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
5,-4.26093e-06,-1.33154e-05,-1.33154e-05,-3.72832e-05,-2.76961e-05,-1.04723,-1.91742e-05,-5.27495e-06,0,0,0,0,5.27098e-06,0,-0.00595766,2.92065,-0.000874942,2.73839,-0.000874942,2.60285,-0.000430937,0,0,0,0,0,0,0,0.294229,1.10581,1.17921,3.38443,0.96681,2.40452,0.660064,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6617,0.0322266,0.121118,0.129158,0.370693,0.16521,0.410889,0.112793,0,0,0,0,0,-1.04713,0,0,0,0,0,0,0.0149994,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
6,-4.26093e-06,-1.33154e-05,-1.33154e-05,-3.72832e-05,-2.76961e-05,-1.04723,-1.91742e-05,-5.27495e-06,0,0,0,0,1.58128e-05,0,-0.00595817,2.92066,-0.000875017,2.73838,-0.000875017,2.60283,-0.000430933,0,0,0,0,0,0,0,0.367786,1.10336,1.17921,3.45797,1.01367,2.45167,0.754728,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6617,0.0402832,0.12085,0.129158,0.378748,0.173218,0.418945,0.128969,0,0,0,0,0,-1.04711,0,0,0,0,0,0,0.0179992,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
7,-4.26093e-06,-1.33154e-05,-1.3848e-05,-3.72832e-05,-2.76961e-05,-1.04722,-1.91742e-05,-5.27093e-06,5.26707e-06,-5.27495e-06,0,0,3.69246e-05,0,-0.00595878,2.92066,-0.000875106,2.73837,-0.000875106,2.6028,-0.000430929,0,0,0,0,0,0,0,0.294229,1.32607,1.17921,3.38443,0.966523,2.49893,0.660485,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6617,0.0322266,0.145243,0.129158,0.370693,0.165161,0.427021,0.112865,0,0,0,0,0,-1.04709,0,0,0,0,0,0,0.0209991,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
8,-4.26093e-06,-1.33154e-05,-1.3848e-05,-3.72832e-05,-2.76961e-05,-1.04722,-1.91742e-05,-5.27495e-06,5.26311e-06,-5.27495e-06,0,0,6.31574e-05,0,-0.00595947,2.92067,-0.000875208,2.73835,-0.000875208,2.60277,-0.000430924,0,0,0,0,0,0,0,0.441343,1.17921,1.32607,3.38363,0.943244,2.61679,0.684044,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6617,0.0483398,0.129158,0.145243,0.370605,0.161183,0.447162,0.116891,0,0,0,0,0,-1.04707,0,0,0,0,0,0,0.023999,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
9,-4.26093e-06,-1.33154e-05,-1.3848e-05,-3.72832e-05,-2.76961e-05,-1.04722,-1.91742e-05,-5.27495e-06,5.27098e-06,-5.27098e-06,0,0,9.48776e-05,0,-0.00596026,2.92067,-0.000875324,2.73833,-0.000875324,2.60274,-0.000430918,0,0,0,0,0,0,0,0.294229,1.2591,1.32607,3.38443,1.03832,2.71108,0.707212,32.9745,33.0914,33.2783,34.6866,39.1902,40.2295,38.6617,0.0322266,0.137907,0.145243,0.370693,0.177429,0.463274,0.12085,0,0,0,0,0,-1.04705,0,0,0,0,0,0,0.0269988,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0
