Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-4.26093e-06,5.27086e-06,-1.3848e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.04689,0,0,-5.2829e-06,0,0,0,0.0205268,0.000721865,0.000769338,0.000719977,-0.000167839,0.000719977,-0.000275114,0.000719977,0,0,0,0,0,0,0,0.367786,-0.593037,1.25047,1.91249,0.942949,1.01477,1.2732,33.0076,33.0479,33.2807,34.6423,39.2354,40.2819,38.6907,0.0402832,-0.0649547,0.136963,0.209473,0.161133,0.173405,0.217567,0,0,0,0,0,0,-1.04717,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
1,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.04687,0,5.27489e-06,0,0,0,0,0.0199866,0.000721865,0.000769339,0.000719977,-0.000167838,0.000719977,-0.000275113,0.000719977,0,0,0,0,0,0,0,0.294229,-0.593037,1.25263,1.8404,0.990097,1.06082,1.60319,33.0076,33.0479,33.2807,34.6423,39.2354,40.2819,38.6907,0.0322266,-0.0649547,0.1372,0.201577,0.169189,0.181274,0.273955,0,0,0,0,0,0,-1.04717,0,0,0,0,0,0,0.00299987,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
2,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.04684,0,5.27892e-06,0,0,0,0,0.0250761,0.000721865,0.00076934,0.000719977,-0.000167836,0.000719977,-0.000275111,0.000719977,0,0,0,0,0,0,0,0.447431,-0.520127,1.10581,1.9139,0.966523,1.01477,1.76819,32.9737,33.0479,33.2807,34.6423,39.2354,40.2819,38.6907,0.0490066,-0.0569691,0.121118,0.209628,0.165161,0.173405,0.302151,0,0,0,0,0,0,-1.04716,0,0,0,0,0,0,0.00599974,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
3,-4.26093e-06,5.73004e-06,-1.33154e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.04681,0,7.91838e-06,0,0,0,0,0.0307902,0.000721865,0.000769343,0.000719977,-0.000167833,0.000719977,-0.000275107,0.000719977,0,0,0,0,0,0,0,0.367786,-0.520127,1.10336,1.8404,0.96681,1.01367,1.65016,32.9737,33.0479,33.2807,34.6423,39.2354,40.2577,38.6907,0.0402832,-0.0569691,0.12085,0.201577,0.16521,0.173218,0.281982,0,0,0,0,0,0,-1.04715,0,0,0,0,0,0,0.00899961,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
4,-4.26093e-06,5.73004e-06,-1.33154e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.04677,0,7.91242e-06,5.28285e-06,0,0,0,0.036192,0.000721865,0.000769346,0.000719977,-0.000167829,0.000719977,-0.000275102,0.000719977,0,0,0,0,0,0,0,0.294229,-0.441343,1.25047,1.83893,0.967672,1.01367,1.43819,32.9737,33.0479,33.2807,34.6423,39.2354,40.2577,38.6907,0.0322266,-0.0483398,0.136963,0.201416,0.165358,0.173218,0.245761,0,0,0,0,0,0,-1.04714,0,0,0,0,0,0,0.0119995,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
5,-4.26093e-06,5.73004e-06,-1.3848e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.04673,0,5.27495e-06,0,0,0,0,0.0405134,0.000721865,0.000769351,0.000719977,-0.000167823,0.000719977,-0.000275095,0.000719977,0,0,0,0,0,0,0,0.441343,-0.520127,1.25263,1.9139,0.96681,1.01477,1.3437,32.9737,33.0479,33.2839,34.6423,39.2354,40.2577,38.6907,0.0483398,-0.0569691,0.1372,0.209628,0.16521,0.173405,0.229614,0,0,0,0,0,0,-1.04713,0,0,0,0,0,0,0.0149994,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
6,-4.26093e-06,5.73004e-06,-1.3848e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.04664,0,5.27892e-06,-5.2829e-06,0,0,0,0.045375,0.000721865,0.000769356,0.000719977,-0.000167816,0.000719977,-0.000275087,0.000719977,0,0,0,0,0,0,0,0.396117,-0.593037,1.25047,1.8404,0.96681,0.990377,1.15535,32.9737,33.0479,33.2839,34.6423,39.2354,40.2577,38.6907,0.0433863,-0.0649547,0.136963,0.201577,0.16521,0.169237,0.197429,0,0,0,0,0,0,-1.04711,0,0,0,0,0,0,0.0179992,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
7,-4.26093e-06,5.73004e-06,-1.33154e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.0466,0,7.91234e-06,0,0,0,0,0.0475358,0.000721865,0.000769362,0.000719977,-0.000167808,0.000719977,-0.000275078,0.000719977,0,0,0,0,0,0,0,0.396117,-0.520127,1.25047,1.91249,0.919678,1.08465,1.17892,32.9737,33.0479,33.2839,34.6423,39.2354,40.2577,38.6907,0.0433863,-0.0569691,0.136963,0.209473,0.157156,0.185347,0.201456,0,0,0,0,0,0,-1.04709,0,0,0,0,0,0,0.0209991,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
8,-4.26093e-06,5.73004e-06,-1.33154e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.04654,0,7.91242e-06,0,0,0,0,0.0491492,0.000721865,0.00076937,0.000719977,-0.000167799,0.000719977,-0.000275067,0.000719977,0,0,0,0,0,0,0,0.303284,-0.465216,1.32403,1.9139,0.920584,1.03832,1.17869,32.9737,33.0479,33.2839,34.6423,39.2354,40.2577,38.6907,0.0332184,-0.0509547,0.14502,0.209628,0.157311,0.177429,0.201416,0,0,0,0,0,0,-1.04707,0,0,0,0,0,0,0.023999,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
9,-4.26093e-06,5.73004e-06,-1.33154e-05,-2.13047e-05,-2.66308e-05,-2.82287e-05,-1.04649,0,7.91838e-06,0,0,0,0,0.0518572,0.000721866,0.000769378,0.000719977,-0.000167788,0.000719977,-0.000275054,0.000719977,0,0,0,0,0,0,0,0.232608,-0.520127,1.33218,1.98604,0.943244,1.03724,1.20249,32.9737,33.0479,33.2839,34.6423,39.2354,40.2577,38.6907,0.0254773,-0.0569691,0.145912,0.217529,0.161183,0.177246,0.205484,0,0,0,0,0,0,-1.04705,0,0,0,0,0,0,0.0269988,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0
